Geo Point;Geo Shape;objectid;insee;chom15_19;chom20_24;chom25_29;chom30_49;chom50_54;chom55_59;chom60_64;chom65pl;popact;popact1519;popact2024;popact2529;popact3049;popact5054;popact5559;popact6064;popact65pl;chom2020
48.91281077682034, 2.929068587640387;"{""coordinates"": [2.929068587640387, 48.91281077682034], ""type"": ""Point""}";150;77049;3.98;2.02;4.64;17.84;1.05;5.96;3.28;0.0;447.4425158;9.45971889;27.20772408;44.42835314;203.2113984;73.31754768;64.92248504;24.89528861;9.47888288;38.77
48.621800462754436, 3.192779053541889;"{""coordinates"": [3.192779053541889, 48.621800462754436], ""type"": ""Point""}";248;77109;5.16;15.15;10.15;32.62;14.18;7.01;4.03;0.0;748.9065699;17.51476062;56.48237777;76.97127292;366.0370079;117.1119663;90.55608849;24.23309583;9.06117682;88.3
49.17497536144242, 2.036972002964;"{""coordinates"": [2.036972002964, 49.17497536144242], ""type"": ""Point""}";475;95298;2.0;2.0;3.0;11.0;4.0;2.0;2.0;0.0;291.0;10.0;16.0;25.0;143.0;47.0;37.0;13.0;8.0;26.0
48.88422149336974, 3.005401834523793;"{""coordinates"": [3.005401834523793, 48.88422149336974], ""type"": ""Point""}";550;77225;0.0;4.0;3.0;6.0;0.0;0.0;0.0;0.0;160.0;1.0;20.0;14.0;78.0;18.0;22.0;7.0;1.0;13.0
49.06187835080819, 1.926885883062968;"{""coordinates"": [1.926885883062968, 49.06187835080819], ""type"": ""Point""}";651;95348;0.0;4.56;1.22;6.42;0.82;3.88;2.0;0.0;283.1075416;6.41931054;32.01546731;28.38227843;111.2178688;38.69400992;52.17346526;14.20514137;3.61487389;18.9
48.83622838715611, 2.564615174509693;"{""coordinates"": [2.564615174509693, 48.83622838715611], ""type"": ""Point""}";827;93051;242.91;596.64;769.05;2053.25;338.02;309.67;223.6;22.91;34625.79881;584.7641197;2924.107256;4698.179153;17757.4572;3731.507722;3249.985864;1679.797496;439.7193687;4556.05
48.846224411779545, 2.054883831909039;"{""coordinates"": [2.054883831909039, 48.846224411779545], ""type"": ""Point""}";828;78455;9.0;33.0;37.0;114.0;28.0;35.0;21.0;6.0;3359.0;39.0;171.0;231.0;1570.0;561.0;497.0;290.0;97.0;283.0
48.597173757129234, 1.809613341111978;"{""coordinates"": [1.809613341111978, 48.597173757129234], ""type"": ""Point""}";844;78464;1.05;3.21;8.08;10.9;4.22;0.0;0.97;0.0;514.7786114;18.08614975;35.2769298;46.16699315;249.4781713;72.96917928;71.22354154;21.57764658;2.06579199;28.43
48.85914200643336, 1.671783788985815;"{""coordinates"": [1.671783788985815, 48.85914200643336], ""type"": ""Point""}";900;78505;0.95;4.94;0.95;8.54;0.95;2.04;0.0;0.0;207.4721182;4.63287499;16.82477345;14.1042783;107.0085082;35.19055769;23.35484542;6.35628011;2.0862645;18.37
49.21324670670491, 1.703009369697802;"{""coordinates"": [1.703009369697802, 49.21324670670491], ""type"": ""Point""}";958;95541;3.9;14.18;5.1;22.18;5.9;6.36;1.63;0.0;445.2871486;10.41200777;40.97476538;42.79014347;225.4922424;54.5995563;48.43338954;22.58504379;9.41571195;59.25
48.892139354351585, 2.712919074817333;"{""coordinates"": [2.712919074817333, 48.892139354351585], ""type"": ""Point""}";1117;77464;36.08;69.65;100.75;245.52;37.51;39.48;28.51;4.92;5426.465218;118.1137429;442.0488748;623.0066144000001;2836.811463;614.1716299;538.241172;254.0717208;50.15827408;562.42
48.812946844348225, 2.792673453222163;"{""coordinates"": [2.792673453222163, 48.812946844348225], ""type"": ""Point""}";1200;77510;2.71;4.98;7.27;19.33;1.2;1.2;2.35;0.0;556.5141842;10.60360614;36.28287341;53.16664028;321.3734173;66.63677298;45.43597418;23.01489986;7.15276809;39.04
48.56317508592522, 3.219259692960422;"{""coordinates"": [3.219259692960422, 48.56317508592522], ""type"": ""Point""}";1246;77532;0.0;0.0;0.0;0.0;1.02;0.0;1.02;0.0;38.59375;0.0;1.015625;2.03125;23.359375;4.0625;3.046875;5.078125;0.0;2.04
48.81942521405623, 2.609266499490969;"{""coordinates"": [2.609266499490969, 48.81942521405623], ""type"": ""Point""}";1262;77169;25.68;59.59;75.74;146.4;20.11;31.36;19.19;2.02;3903.395719;84.00042844;284.4860267;420.9122082;2122.994185;427.9293989;391.2328669;171.8406048;57.98748202;380.09
49.11011335930085, 1.649563030699366;"{""coordinates"": [1.649563030699366, 49.11011335930085], ""type"": ""Point""}";13;95012;0.0;0.99;0.99;4.95;2.97;0.99;0.99;0.0;108.9423077;2.97115385;8.91346154;6.93269231;54.47115385;18.81730769;12.875;3.96153846;0.0;11.88
49.037471806770505, 2.198900859706912;"{""coordinates"": [2.198900859706912, 49.037471806770505], ""type"": ""Point""}";92;95060;23.36;73.79;63.5;155.3;54.73;45.75;14.31;1.12;4009.047615;72.27026304;311.9720554;436.1153716;2001.996027;533.7365389;488.6301302000001;164.3272293;38.51664328;431.86
48.867324592487655, 2.060047927640609;"{""coordinates"": [2.060047927640609, 48.867324592487655], ""type"": ""Point""}";524;78224;2.98;28.98;22.73;57.25;17.0;14.3;17.33;0.0;1943.592648;13.62740134;105.5317537;110.9285104;889.2315158;372.086522;293.7238619;158.4630828;61.09239176;160.57
49.09473163526219, 2.437759387928714;"{""coordinates"": [2.437759387928714, 49.09473163526219], ""type"": ""Point""}";568;95331;0.0;2.01;5.03;4.02;0.0;1.01;0.0;0.0;106.5578947;3.01578947;16.08421053;13.06842105;51.26842105;4.02105263;14.07368421;5.02631579;2.01052632;12.07
48.514333820766346, 3.238094482215943;"{""coordinates"": [3.238094482215943, 48.514333820766346], ""type"": ""Point""}";652;77260;17.0;26.0;17.0;56.0;14.0;13.0;5.0;0.0;797.0;37.0;69.0;73.0;367.0;110.0;106.0;35.0;11.0;148.0
