id;starttime;endtime;description;type;subtype;street;polyline;direction
20251119T094151_1886_1080;2025-11-19T09:41:51+02:00;2030-11-23T03:02:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8875733577514708 2.3255065870651292 48.8886448123025374 2.3236196733783707;ONE_DIRECTION
20251119T094151_4010_3325;2025-11-19T09:41:51+02:00;2030-11-23T03:02:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8916263529297055 2.3184479865381840 48.8923523008100034 2.3171888086725216;ONE_DIRECTION
20251119T094302_1901_117;2025-11-19T09:43:02+02:00;2030-11-19T10:07:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8955469463484036 2.3282217615104108 48.8940431642816122 2.3277028547496852;ONE_DIRECTION
20251119T094336_30_3686;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8596349548353999 2.3448214172967252 48.8599242487681593 2.3439087680977191;ONE_DIRECTION
20260421T213641_831_2910;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Italie_bretelle_4;48.8172768465863243 2.3546434466576880 48.8165887961476344 2.3553661754346344 48.8162744588206152 2.3560866808741681 48.8160765416231683 2.3572134586487739 48.8159200003922606 2.3601941865102374;ONE_DIRECTION
20260421T213641_5232_638;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Orleans;48.8207662368767501 2.3219033784041625 48.8192138268684559 2.3291241020904829;ONE_DIRECTION
20260421T213641_5277_2897;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Ivry;48.8186710509442960 2.3707413677255000 48.8204617149115734 2.3761256612296457;ONE_DIRECTION
20260421T213641_5319_1432;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Pont_Amont;48.8257374347385067 2.3869001458321915 48.8267828999645417 2.3899000753767621;ONE_DIRECTION
20260421T213641_7023_1637;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bd_Macdonald;48.8988339645748837 2.3836812358167130 48.8989895684190117 2.3828700424959530;ONE_DIRECTION
20251119T094336_24_3631;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rue de Rivoli;48.8572903442405249 2.3523857637496040 48.8575349514073665 2.3514130212603082;ONE_DIRECTION
