nom,categorie,code_insee,nom_commune,adresse,latitude,longitude,population,region,departement
Eglise Saint-Médard,Patrimoine,60175,Creil,,49.25702,2.478556,36106,Hauts-de-France,Oise
Colombier (ancien),Patrimoine,94028,Créteil,18 bis r. des Mèches,48.792681,2.458496,92989,Île-de-France,Val-de-Marne
Eglise Saint-Christophe,Patrimoine,94028,Créteil,,48.784584,2.453025,92989,Île-de-France,Val-de-Marne
Villa Cavrois,Patrimoine,59163,Croix,av. John-Fitzgerald-Kennedy Anciennement av. François-Roussel,50.667074,3.163358,20778,Hauts-de-France,Nord
Enceinte gallo-romaine,Patrimoine,40088,Dax,,43.700334,-1.061961,21347,Nouvelle-Aquitaine,Landes
Temple gallo-romain,Patrimoine,40088,Dax,24 26 28 30 r. Cazade,43.70983,-1.052403,21347,Nouvelle-Aquitaine,Landes
Fontaine Chaude,Patrimoine,40088,Dax,r. de la Font-Chaude,43.710862,-1.053257,21347,Nouvelle-Aquitaine,Landes
Monument aux Morts de la guerre 14-18,Patrimoine,40088,Dax,,43.700334,-1.061961,21347,Nouvelle-Aquitaine,Landes
Hôtel Saint-Martin-d'Agès,Patrimoine,40088,Dax,27 r. Cazade,43.709465,-1.052377,21347,Nouvelle-Aquitaine,Landes
Ancienne fosse Mathilde de la compagnie des mines d'Anzin,Patrimoine,59172,Denain,21 À 29 r. Mathilde,50.333701,3.383464,20640,Hauts-de-France,Nord
Hôtel de la Vicomté,Patrimoine,76217,Dieppe,35 37 q. Henri Iv,49.928434,1.081852,28358,Normandie,Seine-Maritime
Villa vénitienne,Patrimoine,76217,Dieppe,7 11 r. de Sygogne,49.924476,1.071667,28358,Normandie,Seine-Maritime
Immeuble,Patrimoine,76217,Dieppe,20 pl. Nationale,49.926787,1.078312,28358,Normandie,Seine-Maritime
Hôtel,Patrimoine,76217,Dieppe,174 À 184 Grande-r.,49.925359,1.075508,28358,Normandie,Seine-Maritime
pont Colbert,Patrimoine,76217,Dieppe,q. de la Somme,49.927337,1.085911,28358,Normandie,Seine-Maritime
Ancien entrepôt des Douanes,Patrimoine,76217,Dieppe,q. du Tonkin,49.922753,1.08328,28358,Normandie,Seine-Maritime
Immeubles,Patrimoine,76217,Dieppe,22 24 pl. Nationale,49.926464,1.078313,28358,Normandie,Seine-Maritime
Temple protestant,Patrimoine,21231,Dijon,14 bd de Brosses,47.3249155659418,5.03680171495122,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,8 r. Porte-Aux-Lions,47.321853,5.040154,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,9 pl. de la Libération Anciennement pl. d'Armes,47.320979,5.041662,159346,Bourgogne-Franche-Comté,Côte-d'Or
Hôtel Lebault (ancien),Patrimoine,21231,Dijon,43 r. des Godrans,47.3234665663398,5.03856996278884,159346,Bourgogne-Franche-Comté,Côte-d'Or
Maison dite Le Petit Cîteaux,Patrimoine,21231,Dijon,40 r. Condorcet,47.318695,5.032812,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,13 pl. de la Libération Anciennement pl. d'Armes,47.320969,5.041533,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,80 bis r. de la Liberté,47.322379,5.037854,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,21 r. Verrerie,47.322988,5.042938,159346,Bourgogne-Franche-Comté,Côte-d'Or
Ancienne poudrière,Patrimoine,21231,Dijon,147 r. d'Auxonne,47.309495,5.054938,159346,Bourgogne-Franche-Comté,Côte-d'Or
Maison des Argentières,Patrimoine,21231,Dijon,10 r. des Argentières,47.316563,5.056309,159346,Bourgogne-Franche-Comté,Côte-d'Or
"Couvent des Carmes, puis de la Visitation (ancien)",Patrimoine,21231,Dijon,4 Au 20 r. Crébillon,47.318345,5.035342,159346,Bourgogne-Franche-Comté,Côte-d'Or
Hôtel Thomas Berbisey,Patrimoine,21231,Dijon,19 r. Berbisey,47.318945,5.037389,159346,Bourgogne-Franche-Comté,Côte-d'Or
Hôtel de Samerey,Patrimoine,21231,Dijon,,47.331503,5.035673,159346,Bourgogne-Franche-Comté,Côte-d'Or
Hôtel Maleteste,Patrimoine,21231,Dijon,7 r. Hernoux,47.319271,5.040918,159346,Bourgogne-Franche-Comté,Côte-d'Or
Hôtel Legouz de Gerland,Patrimoine,21231,Dijon,21 r. Vauban,47.320097,5.040379,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,20 pl. de la Libération Anciennement pl. d'Armes,47.320993,5.041142,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,94 r. de la Liberté,47.321573,5.040561,159346,Bourgogne-Franche-Comté,Côte-d'Or
Immeuble,Patrimoine,21231,Dijon,85 r. de la Liberté,47.321758,5.039953,159346,Bourgogne-Franche-Comté,Côte-d'Or
