GEO,GEO_OBJECT,EMPSTA_ENQ,AGE,PCS,RP_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,LIB_EMPSTA,LIB_PCS,code_insee,nom_commune,latitude,longitude,population
54547,COM,1T2,Y15T64,2,POP,A,2011,432.34387,Actif,"Artisans, commerçants et chefs d’entreprise",54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
56098,COM,1T2,Y15T64,3,POP,A,2011,697.41031,Actif,Cadres et professions intellectuelles supérieures,56098,Lanester,47.764,-3.347,23026
56121,COM,1T2,Y15T64,1,POP,A,2016,25.88377,Actif,Agriculteurs,56121,Lorient,47.748,-3.366,57846
56098,COM,1T2,Y15T64,6,POP,A,2016,2909.88419,Actif,Ouvriers,56098,Lanester,47.764,-3.347,23026
56260,COM,1T2,Y15T64,_T,POP,A,2011,23680.4381,Actif,Total,56260,Vannes,47.658,-2.761,54420
57463,COM,1T2,Y15T64,6,POP,A,2011,12035.58547,Actif,Ouvriers,57463,Metz,49.12,6.176,120874
56260,COM,1T2,Y15T64,3,POP,A,2016,4186.34666,Actif,Cadres et professions intellectuelles supérieures,56260,Vannes,47.658,-2.761,54420
57463,COM,1T2,Y15T64,2,POP,A,2011,2009.36428,Actif,"Artisans, commerçants et chefs d’entreprise",57463,Metz,49.12,6.176,120874
57463,COM,1T2,Y15T64,5,POP,A,2011,18387.16283,Actif,Employés,57463,Metz,49.12,6.176,120874
57463,COM,1T2,Y15T64,2,POP,A,2016,2052.46546,Actif,"Artisans, commerçants et chefs d’entreprise",57463,Metz,49.12,6.176,120874
57227,COM,1T2,Y15T64,5,POP,A,2011,2886.17801,Actif,Employés,57227,Forbach,49.186,6.896,21130
57227,COM,1T2,Y15T64,_T,POP,A,2016,8542.83222,Actif,Total,57227,Forbach,49.186,6.896,21130
56260,COM,1T2,Y15T64,6,POP,A,2011,4429.81555,Actif,Ouvriers,56260,Vannes,47.658,-2.761,54420
56098,COM,1T2,Y15T64,4,POP,A,2016,2322.63889,Actif,Professions intermédiaires,56098,Lanester,47.764,-3.347,23026
57227,COM,1T2,Y15T64,6,POP,A,2016,2940.93671,Actif,Ouvriers,57227,Forbach,49.186,6.896,21130
54547,COM,1T2,Y15T64,5,POP,A,2016,3620.85027,Actif,Employés,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
56260,COM,1T2,Y15T64,5,POP,A,2011,7729.61362,Actif,Employés,56260,Vannes,47.658,-2.761,54420
56121,COM,1T2,Y15T64,2,POP,A,2011,1408.11072,Actif,"Artisans, commerçants et chefs d’entreprise",56121,Lorient,47.748,-3.366,57846
57463,COM,1T2,Y15T64,5,POP,A,2016,16687.0209,Actif,Employés,57463,Metz,49.12,6.176,120874
56121,COM,1T2,Y15T64,_T,POP,A,2011,26245.09388,Actif,Total,56121,Lorient,47.748,-3.366,57846
57227,COM,1T2,Y15T64,2,POP,A,2016,401.75923,Actif,"Artisans, commerçants et chefs d’entreprise",57227,Forbach,49.186,6.896,21130
56098,COM,1T2,Y15T64,3,POP,A,2016,755.93297,Actif,Cadres et professions intellectuelles supérieures,56098,Lanester,47.764,-3.347,23026
56260,COM,1T2,Y15T64,3,POP,A,2011,3964.00335,Actif,Cadres et professions intellectuelles supérieures,56260,Vannes,47.658,-2.761,54420
56260,COM,1T2,Y15T64,6,POP,A,2016,3751.49448,Actif,Ouvriers,56260,Vannes,47.658,-2.761,54420
56098,COM,1T2,Y15T64,5,POP,A,2011,3302.58802,Actif,Employés,56098,Lanester,47.764,-3.347,23026
56121,COM,1T2,Y15T64,_T,POP,A,2016,25469.37493,Actif,Total,56121,Lorient,47.748,-3.366,57846
