nom_commune,code_insee,type_bien,loyer_m2,loyer_m2_min,loyer_m2_max,niveau_prediction,nb_obs_commune,r2_adj,population,superficie_km2,region,departement,latitude,longitude
Villefranche-sur-Saône,69264,Appartement,10.9119126349241,8.4227170157473,14.1367491190314,commune,5850,0.75553318318703,35913,9,Auvergne-Rhône-Alpes,Rhône,45.989,4.715
Saint-Jean-de-Braye,45284,Appartement,11.7314685457802,10.2353891886408,13.4462258057924,commune,2975,0.880215000070757,21700,14,Centre-Val de Loire,Loiret,47.912,1.971
Beaupréau-en-Mauges,49023,Appartement,9.13263807841478,7.30558042107433,11.416625848196,commune,771,0.709713274360266,23639,36,Pays de la Loire,Maine-et-Loire,47.209,-0.982
Les Sables-d'Olonne,85194,Appartement,12.3527818299714,9.68178296152055,15.760652717101,commune,2141,0.757268490540452,48402,9,Pays de la Loire,Vendée,46.497,-1.784
Challans,85047,Appartement,11.7106024689549,9.70997416731259,14.1234371814861,commune,1089,0.834492743026833,22494,65,Pays de la Loire,Vendée,46.845,-1.879
Le Perreux-sur-Marne,94058,Appartement,19.7416779809511,16.1355101907595,24.1537977353057,commune,3214,0.883014097385003,34213,4,Île-de-France,Val-de-Marne,48.841,2.508
Vannes,56260,Appartement,12.1479212296935,9.8482530158737,14.9845855874111,commune,8403,0.874569443294543,54420,33,Bretagne,Morbihan,47.658,-2.761
Limoges,87085,Appartement,10.0877614027147,8.08463559424206,12.5872006142834,commune,30815,0.826520142265362,129760,80,Nouvelle-Aquitaine,Haute-Vienne,45.826,1.26
Muret,31395,Appartement,11.500532143856,9.62362826486621,13.7434900800071,commune,2587,0.848752257323837,25060,58,Occitanie,Haute-Garonne,43.462,1.331
Gap,05061,Appartement,11.2400252066364,9.11078189361132,13.8668852049255,commune,6105,0.85735379829528,40500,109,Provence-Alpes-Côte d'Azur,Hautes-Alpes,44.559,6.08
Saint-Priest,69290,Appartement,13.379931509059,11.016548252234,16.2503320539449,commune,3070,0.777489633807646,48822,30,Auvergne-Rhône-Alpes,Rhône,45.695,4.936
Nevers,58194,Appartement,9.00790768821794,7.02946058521798,11.5431902541836,commune,7167,0.755125936590966,32830,17,Bourgogne-Franche-Comté,Nièvre,46.988,3.158
Roubaix,59512,Appartement,12.2030482400269,9.82828339351542,15.1516170612942,commune,7691,0.799854580075108,98892,13,Hauts-de-France,Nord,50.691,3.174
Nîmes,30189,Appartement,11.673637084584,9.11009594788833,14.9585474798608,commune,26467,0.810211680881295,148104,161,Occitanie,Gard,43.837,4.36
Mantes-la-Ville,78362,Appartement,14.7564014698335,12.6370154485427,17.2312351144602,commune,2009,0.84099812873964,21376,6,Île-de-France,Yvelines,48.978,1.714
Mantes-la-Jolie,78361,Appartement,14.351032202714,12.1763335232916,16.914133050756,commune,6374,0.847632245171746,44539,9,Île-de-France,Yvelines,48.989,1.715
Oyonnax,01283,Appartement,9.73273812344069,7.36698857180677,12.8581971393291,commune,2420,0.783876827549237,22277,36,Auvergne-Rhône-Alpes,Ain,46.258,5.656
Pantin,93055,Appartement,20.3111845607215,15.9058540547924,25.9366279131295,commune,3025,0.822518498724116,60800,5,Île-de-France,Seine-Saint-Denis,48.897,2.401
Saint-Ouen-l'Aumône,95572,Appartement,15.6364521255123,13.2297621440861,18.4809547148761,commune,1612,0.841976286161603,25023,14,Île-de-France,Val-d'Oise,49.044,2.106
Valenciennes,59606,Appartement,11.4198135238079,9.22438232644915,14.1377640586964,commune,11888,0.82549745752208,42991,14,Hauts-de-France,Nord,50.358,3.524
Neuilly-Plaisance,93049,Appartement,18.7047282371321,15.5755547306051,22.4625616535827,commune,1527,0.837037751341004,21415,3,Île-de-France,Seine-Saint-Denis,48.861,2.506
Mont-de-Marsan,40192,Appartement,9.5665534622537,7.92420031369751,11.5492972821449,commune,4722,0.832324317632665,30674,37,Nouvelle-Aquitaine,Landes,43.891,-0.501
Fougères,35115,Appartement,9.33712842394485,7.29559517975681,11.9499458313071,commune,3843,0.781748233025317,20653,10,Bretagne,Ille-et-Vilaine,48.352,-1.204
Arcueil,94003,Appartement,20.4282059771244,16.5004278517195,25.2909562827083,commune,1545,0.847662329901434,21557,2,Île-de-France,Val-de-Marne,48.806,2.337
Thionville,57672,Appartement,13.0038004271093,10.1883190036286,16.5973234139864,commune,6220,0.779379020551591,42163,50,Grand Est,Moselle,49.358,6.168
Metz,57463,Appartement,10.86748155168,8.51940637525111,13.8627211890245,commune,21971,0.838312575583868,120874,42,Grand Est,Moselle,49.12,6.176
Clermont-Ferrand,63113,Appartement,11.2802298327451,9.07191606065159,14.0260981504732,commune,40339,0.845238232945893,147327,43,Auvergne-Rhône-Alpes,Puy-de-Dôme,45.78,3.086
Saintes,17415,Appartement,10.0570212250059,8.1872169372545,12.3538531707866,commune,3484,0.816409143874464,25518,46,Nouvelle-Aquitaine,Charente-Maritime,45.744,-0.634
Melun,77288,Appartement,14.8789347531544,12.5799161844038,17.5981060718903,commune,7073,0.860725888664486,42367,8,Île-de-France,Seine-et-Marne,48.54,2.661
Sannois,95582,Appartement,16.5903040528431,13.4073271630084,20.5289380365969,commune,1287,0.794059327032024,26768,5,Île-de-France,Val-d'Oise,48.972,2.256
Troyes,10387,Appartement,10.971322113988,8.45954266620067,14.2288908134253,commune,14839,0.80312332930439,62782,13,Grand Est,Aube,48.298,4.074
Gradignan,33192,Appartement,13.7315419144898,11.5547832921879,16.3183712391103,commune,2349,0.902525343037122,25835,16,Nouvelle-Aquitaine,Gironde,44.772,-0.608
Bègles,33039,Appartement,12.9105853073231,10.6874928358824,15.5961005576576,commune,2019,0.814007836881638,30813,11,Nouvelle-Aquitaine,Gironde,44.808,-0.544
Sèvremoine,49301,Appartement,8.60149636934297,6.56848434601035,11.2637460781586,commune,298,0.651179614239625,25806,28,Pays de la Loire,Maine-et-Loire,47.124,-0.994
Brest,29019,Appartement,10.8860743539405,8.8296124504251,13.4214967536673,commune,27666,0.837057046845836,139619,49,Bretagne,Finistère,48.391,-4.485
Clichy,92024,Appartement,22.7081658681615,17.9368303275521,28.748713550791,commune,5144,0.859617312558725,64849,3,Île-de-France,Hauts-de-Seine,48.903,2.305
Chemillé-en-Anjou,49092,Appartement,8.88659459517736,6.97017951979933,11.329918157016,commune,677,0.698967469892699,21386,49,Pays de la Loire,Maine-et-Loire,47.215,-0.733
Deuil-la-Barre,95197,Appartement,17.0932922504095,14.0156119860307,20.8467985735568,commune,1535,0.824731886506072,22510,4,Île-de-France,Val-d'Oise,48.975,2.328
Grigny,91286,Appartement,13.9841298703191,11.2838264938512,17.3306358739664,commune,736,0.790989976877648,27257,5,Île-de-France,Essonne,48.656,2.385
Roanne,42187,Appartement,8.49629926080171,6.54781647690365,11.0246066583765,commune,10724,0.734479441685891,34762,16,Auvergne-Rhône-Alpes,Loire,46.034,4.073
Blois,41018,Appartement,10.5008057406924,8.60736724220592,12.8107606078509,commune,7997,0.835471755169676,46813,38,Centre-Val de Loire,Loir-et-Cher,47.589,1.337
Lannion,22113,Appartement,8.97983314475183,7.29886546871244,11.0479366489554,commune,1931,0.796204123372133,20344,48,Bretagne,Côtes-d'Armor,48.732,-3.459
Mons-en-Barœul,59410,Appartement,12.9971628379088,10.7694076507881,15.6857505364055,commune,1360,0.815270414736864,21467,3,Hauts-de-France,Nord,50.643,3.11
Champs-sur-Marne,77083,Appartement,16.5718888570178,13.7981967256929,19.9031442839181,commune,1436,0.861968872084556,25695,8,Île-de-France,Seine-et-Marne,48.853,2.603
Montélimar,26198,Appartement,10.350713548287,8.03075451346336,13.3408723649913,commune,7580,0.752969382403119,40399,46,Auvergne-Rhône-Alpes,Drôme,44.557,4.75
Orléans,45234,Appartement,11.8980201689691,9.88019197094804,14.3279487238153,commune,25939,0.875315492017577,116617,28,Centre-Val de Loire,Loiret,47.903,1.909
Pertuis,84089,Appartement,12.7846888543826,10.2034933794776,16.0188538400114,commune,2226,0.758659650076091,20012,59,Provence-Alpes-Côte d'Azur,Vaucluse,43.695,5.503
Charleville-Mézières,08105,Appartement,8.89374911948,6.94238584063915,11.3936008766936,commune,8509,0.733207188679116,46398,32,Grand Est,Ardennes,49.76,4.72
Quimper,29232,Appartement,10.7293831216051,8.78470941463267,13.1045498190787,commune,9651,0.820028366599676,63642,84,Bretagne,Finistère,47.996,-4.102
Vernon,27681,Appartement,12.992391155057,10.7412356279753,15.7153454008924,commune,3062,0.848583801270915,24543,34,Normandie,Eure,49.093,1.486
Villeneuve-d'Ascq,59009,Appartement,13.267648267858,10.6680258958095,16.5007558360673,commune,3259,0.851466654728724,62067,28,Hauts-de-France,Nord,50.62,3.132
Alès,30007,Appartement,10.0148342224189,7.88276032192372,12.7235765653797,commune,6112,0.750806225973222,43892,23,Occitanie,Gard,44.125,4.077
Perpignan,66136,Appartement,10.7796211615157,8.75142683062733,13.2778613858865,commune,23915,0.796459157617375,119656,68,Occitanie,Pyrénées-Orientales,42.699,2.894
Aix-en-Provence,13001,Appartement,16.9989936016792,13.2985764656019,21.7290763577117,commune,43970,0.852735815951803,147478,188,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,43.53,5.447
Échirolles,38151,Appartement,12.7398436922064,10.129341185513,16.0231168374482,commune,3880,0.800127937995368,36849,8,Auvergne-Rhône-Alpes,Isère,45.148,5.717
Agen,47001,Appartement,9.80789316175034,7.8234866611186,12.2956390723308,commune,9624,0.799079761576331,32485,12,Nouvelle-Aquitaine,Lot-et-Garonne,44.203,0.616
Vienne,38544,Appartement,10.75451266832,8.23882317916345,14.0383572044084,commune,5867,0.788503080676095,31051,23,Auvergne-Rhône-Alpes,Isère,45.526,4.875
Évry-Courcouronnes,91228,Appartement,15.3772997718612,11.8717193310293,19.9180372850999,commune,3742,0.73203691656306,66177,9,Île-de-France,Essonne,48.624,2.429
Haguenau,67180,Appartement,11.8226358883738,9.46320177513262,14.7703412302127,commune,5736,0.809155628412496,35715,184,Grand Est,Bas-Rhin,48.817,7.788
Aix-les-Bains,73008,Appartement,14.4991296327412,11.4079561684548,18.4279074185387,commune,5044,0.810228745046543,31874,16,Auvergne-Rhône-Alpes,Savoie,45.689,5.915
Lagny-sur-Marne,77243,Appartement,15.6030853591051,13.0771530248069,18.6169170202178,commune,2379,0.857021738177216,21191,6,Île-de-France,Seine-et-Marne,48.878,2.706
Douai,59178,Appartement,10.528050946174,8.44901055115611,13.1186789333656,commune,6720,0.776288991850236,39648,17,Hauts-de-France,Nord,50.368,3.08
Concarneau,29039,Appartement,11.3237023064278,9.19840357147624,13.9400530677107,commune,1363,0.767045858515376,20607,41,Bretagne,Finistère,47.871,-3.919
Torcy,77468,Appartement,16.2446176850918,13.7155743326814,19.2399966150894,commune,1463,0.843283512148524,22444,6,Île-de-France,Seine-et-Marne,48.849,2.652
Épernay,51230,Appartement,9.76302756426137,7.699268446695,12.3799693283124,commune,3803,0.754482734639173,22001,23,Grand Est,Marne,49.044,3.959
Antony,92002,Appartement,20.0213074226255,15.9588727040904,25.1178612890707,commune,5153,0.860192566683624,63232,10,Île-de-France,Hauts-de-Seine,48.754,2.296
Ivry-sur-Seine,94041,Appartement,20.2220625198486,16.2205529410301,25.2107196371996,commune,4384,0.852845053541877,64001,6,Île-de-France,Val-de-Marne,48.812,2.388
Garges-lès-Gonesse,95268,Appartement,16.7954567625023,12.7337758680775,22.1526883136254,commune,566,0.735983653078652,42841,5,Île-de-France,Val-d'Oise,48.972,2.401
Rezé,44143,Appartement,12.485099755182,10.57463243623,14.7407218961852,commune,2942,0.828957258644164,42998,16,Pays de la Loire,Loire-Atlantique,47.191,-1.569
Saint-Gratien,95555,Appartement,17.8432701558774,14.431258526812,22.0619905924419,commune,1010,0.837941113933706,20866,3,Île-de-France,Val-d'Oise,48.971,2.283
Thonon-les-Bains,74281,Appartement,14.0930001895871,11.3442752519232,17.5077428864422,commune,5892,0.84107238122061,37027,16,Auvergne-Rhône-Alpes,Haute-Savoie,46.373,6.478
Saint-Médard-en-Jalles,33449,Appartement,12.8505739384724,10.9233830070944,15.1177753669257,commune,1247,0.80311370088749,32538,85,Nouvelle-Aquitaine,Gironde,44.896,-0.717
Couëron,44047,Appartement,12.1520887858726,10.4944124029241,14.0716084131193,commune,1015,0.862230736543765,23057,49,Pays de la Loire,Loire-Atlantique,47.212,-1.728
Auxerre,89024,Appartement,12.0470098938228,9.9177597159386,14.633390154495,commune,7016,0.83282684326481,34778,50,Bourgogne-Franche-Comté,Yonne,47.796,3.57
Épinal,88160,Appartement,9.00994938335355,7.12022941269239,11.4012039760804,commune,6631,0.781051668228764,32285,59,Grand Est,Vosges,48.175,6.45
Dieppe,76217,Appartement,10.2474853298254,8.1221141701325,12.9290174190291,commune,4006,0.774533946948157,28358,12,Normandie,Seine-Maritime,49.923,1.078
Ris-Orangis,91521,Appartement,15.9981996081317,13.7088310895,18.6698916217342,commune,1748,0.849584142573575,29825,8,Île-de-France,Essonne,48.654,2.416
Denain,59172,Appartement,10.0479247672357,8.20905140354752,12.2987160348878,commune,1052,0.696007102954726,20640,12,Hauts-de-France,Nord,50.326,3.394
Colmar,68066,Appartement,11.6544928564677,9.30368843634684,14.5992855060384,commune,10025,0.827917063052694,67730,66,Grand Est,Haut-Rhin,48.079,7.358
Ermont,95219,Appartement,17.2135155746207,14.5416536241751,20.3763014919507,commune,2589,0.863917745142601,28987,4,Île-de-France,Val-d'Oise,48.992,2.259
Chalon-sur-Saône,71076,Appartement,11.5415853012553,9.18602031432508,14.5011862273397,commune,10088,0.816824133860833,45031,15,Bourgogne-Franche-Comté,Saône-et-Loire,46.781,4.854
Épinay-sur-Seine,93031,Appartement,16.5767147472331,12.4432298100575,22.0832915573922,commune,1807,0.70218328113329,53489,5,Île-de-France,Seine-Saint-Denis,48.952,2.313
Noisy-le-Grand,93051,Appartement,17.6339693364269,14.3463795934496,21.674937048231,commune,5096,0.80821479537003,70374,13,Île-de-France,Seine-Saint-Denis,48.849,2.552
Brunoy,91114,Appartement,16.6404277216035,14.0022330947083,19.7756909833588,commune,2172,0.863519654436197,25423,7,Île-de-France,Essonne,48.698,2.504
Décines-Charpieu,69275,Appartement,13.6090225882415,11.2397771635003,16.4776839534416,commune,2171,0.805845584212117,29731,17,Auvergne-Rhône-Alpes,Rhône,45.768,4.957
Valence,26362,Appartement,10.8247435075912,8.61046912841947,13.6084422645908,commune,12029,0.796032775857837,64483,37,Auvergne-Rhône-Alpes,Drôme,44.933,4.892
Angers,49007,Appartement,12.9620335280301,10.2641565431959,16.3690326111747,commune,25999,0.838660556626736,157175,44,Pays de la Loire,Maine-et-Loire,47.471,-0.548
Choisy-le-Roi,94022,Appartement,17.9310415958369,14.7412352450981,21.8110794221636,commune,2514,0.828230648235862,46129,5,Île-de-France,Val-de-Marne,48.762,2.41
Draveil,91201,Appartement,16.3079201954975,13.8964723711918,19.1378253414904,commune,1280,0.883974862573358,29173,16,Île-de-France,Essonne,48.682,2.405
Saint-Étienne-du-Rouvray,76575,Appartement,11.1053044332759,8.78025937215012,14.0460300007671,commune,840,0.713428793745454,28508,18,Normandie,Seine-Maritime,49.38,1.108
Villeparisis,77514,Appartement,16.203469512914,13.8749461208212,18.9227707242726,commune,2695,0.862156798841799,26822,8,Île-de-France,Seine-et-Marne,48.94,2.617
Vanves,92075,Appartement,22.8901157781992,18.5771475479426,28.2044053850125,commune,2345,0.898755373146549,28014,2,Île-de-France,Hauts-de-Seine,48.821,2.29
Voiron,38563,Appartement,11.110873595123,8.50298328252436,14.5186116384027,commune,4999,0.794828661019542,20891,22,Auvergne-Rhône-Alpes,Isère,45.363,5.592
Cachan,94016,Appartement,20.1494010989399,16.5906895866439,24.4714580744614,commune,2199,0.875156649243637,30592,3,Île-de-France,Val-de-Marne,48.795,2.334
Tours,37261,Appartement,12.2406879897987,9.97371795647966,15.02292756998,commune,33986,0.868278582280509,137658,33,Centre-Val de Loire,Indre-et-Loire,47.391,0.69
Maisons-Laffitte,78358,Appartement,20.8820924885314,17.1510418395461,25.4247987252954,commune,2895,0.92920837086663,23080,7,Île-de-France,Yvelines,48.946,2.145
Saint-Maur-des-Fossés,94068,Appartement,20.0463421732977,16.0852150286783,24.9829320784623,commune,6831,0.869182073670853,75441,11,Île-de-France,Val-de-Marne,48.803,2.485
Bagneux,92007,Appartement,19.8524399901175,16.0416630249624,24.5684860072129,commune,1992,0.847497601385595,43699,4,Île-de-France,Hauts-de-Seine,48.799,2.304
Le Tampon,97422,Appartement,12.2345537061946,9.86677072538967,15.1705465299385,commune,2843,0.826926317290697,81943,181,La Réunion,La Réunion,-21.278,55.515
Caen,14118,Appartement,11.7490074032029,9.56230209731642,14.4357680353203,commune,32255,0.864617283352038,108200,26,Normandie,Calvados,49.181,-0.373
Orange,84087,Appartement,10.771282228505,8.63213749588591,13.4405320700003,commune,3711,0.755417757956427,28949,74,Provence-Alpes-Côte d'Azur,Vaucluse,44.138,4.807
