Geo Point;Geo Shape;objectid;insee;tx_emp1990;tx_emp1999;tcam9099;emp2006;emp_h2006;emp_f2006;emp_h2007;emp_f2007;emp2007;emp_h2008;emp_f2008;emp2008;emp2009;emp_h2009;emp_f2009;emp_h2010;emp_f2010;emp2010;emp_h2011;emp_f2011;emp2011;emp_h2012;emp_f2012;emp2012;emp_h2013;emp_f2013;emp2013;emp_h2014;emp_f2014;emp2014;emp_h2015;emp_f2015;emp2015;emp1999;emp1990;emp1982;emp1975;emp1968;emp_h2016;emp_f2016;emp2016;emp_h2017;emp_f2017;emp2017;emp_h2018;emp_f2018;emp2018;emp_h2019;emp_f2019;emp2019;emp_h2020;emp_f2020;emp2020
48.33884860289567, 3.023374890133595;"{""coordinates"": [[3.023374890133595, 48.33884860289567]], ""type"": ""MultiPoint""}";72;77054;0.26;0.53;7.92;101.777447;56.563368;45.214079;71.51;36.06;107.57;71.91;27.99;99.9;99.42;60.0;39.42;68.84;40.17;109.01;61.16;40.49;101.65;35.26;33.24;68.5;46.34;34.7;81.04;47.71;18.37;66.08;44.79;23.62;68.41;151;76;124;125;148;45.86;23.62;69.48;46.73;52.34;99.07;41.61;51.27;92.88;40.79;49.96;90.75;38.17;48.96;87.13
48.55826798082647, 3.1791777117544178;"{""coordinates"": [[3.179177711754418, 48.55826798082647]], ""type"": ""MultiPoint""}";106;77090;0.1;0.12;4.6;7.91579;7.91579;0.0;8.0;0.0;8.0;8.42;1.07;9.49;9.73;8.63;1.1;3.74;4.81;8.55;3.86;4.93;8.79;7.5;5.03;12.53;7.55;4.07;11.62;7.55;4.14;11.69;3.45;14.69;18.14;12;8;12;20;16;3.19;14.88;18.07;0.0;15.0;15.0;0.0;14.94;14.94;0.0;14.88;14.88;0.0;14.81;14.81
48.679816953033196, 2.7471017877768373;"{""coordinates"": [[2.747101787776837, 48.679816953033196]], ""type"": ""MultiPoint""}";150;77136;0.36;0.3;-1.47;46.984064000000004;31.519904;15.46416;27.71;15.73;43.44;28.0;16.0;44.0;45.66;29.03;16.63;29.32;17.05;46.37;11.98;0.0;11.98;11.99;0.0;11.99;12.0;0.0;12.0;12.04;0.0;12.04;11.97;0.0;11.97;28;32;24;0;0;15.47;10.31;25.78;15.23;10.16;25.39;15.0;15.04;30.04;14.77;14.86;29.63;14.77;14.84;29.61
48.46047996375664, 3.2630100097855084;"{""coordinates"": [[3.263010009785508, 48.46047996375664]], ""type"": ""MultiPoint""}";184;77174;0.25;0.25;1.79;67.624833;19.874258;47.750575000000005;25.79;50.71;76.5;21.92;31.38;53.3;57.16;21.81;35.35;21.88;26.92;48.8;21.86;30.79;52.65;21.66;31.34;53.0;10.17;41.03;51.2;10.01;41.96;51.97;10.07;46.92;56.99;61;52;56;30;20;10.19;47.79;57.98;5.11;50.35;55.46;5.03;35.38;40.41;5.01;35.72;40.73;5.0;31.17;36.17
48.86748451101564, 2.8142879345626146;"{""coordinates"": [[2.814287934562615, 48.86748451101564]], ""type"": ""MultiPoint""}";276;77268;0.31;0.26;20.21;1806.3694910000002;858.942912;947.4265790000001;725.04;786.43;1511.47;724.63;791.63;1516.26;1634.52;766.93;867.59;826.25;959.74;1785.99;813.27;1026.47;1839.74;820.37;1022.09;1842.46;874.62;1076.77;1951.39;904.47;1090.83;1995.3;838.95;1090.29;1929.24;273;52;16;35;20;826.9;1107.0;1933.9;792.59;978.54;1771.13;831.91;984.56;1816.47;844.11;1000.84;1844.95;873.57;1051.34;1924.91
48.298976163766376, 2.7119333251429985;"{""coordinates"": [[2.711933325142998, 48.298976163766376]], ""type"": ""MultiPoint""}";309;77302;0.22;0.3;5.04;310.715527;123.745161;186.970366;131.52;187.85;319.37;137.64;181.47;319.11;289.98;120.52;169.46;135.54;170.18;305.72;126.87;151.63;278.5;125.96;127.35;253.31;124.5;113.6;238.1;117.3;123.23;240.53;126.47;109.07;235.54;349;224;172;125;144;129.81;104.34;234.15;109.04;109.44;218.48;114.72;102.27;216.99;114.09;101.39;215.48;105.8;96.16;201.96
48.39634158405566, 3.229952061859006;"{""coordinates"": [[3.229952061859006, 48.39634158405566]], ""type"": ""MultiPoint""}";328;77321;0.45;0.43;0.19;132.46866400000002;53.704779;78.763885;54.29;74.98;129.27;46.8;76.12;122.92;116.72;47.92;68.8;53.18;73.56;126.74;35.27;78.98;114.25;27.59;68.86;96.45;28.13;66.34;94.47;33.4;76.19;109.59;25.37;72.13;97.5;118;116;132;125;104;26.03;59.1;85.13;30.51;74.06;104.57;34.92;73.62;108.54;35.82;74.17;109.99;41.3;62.95;104.25
48.58199606137154, 2.5484708829558587;"{""coordinates"": [[2.548470882955859, 48.58199606137154]], ""type"": ""MultiPoint""}";332;77326;0.18;0.19;2.81;675.8543169999999;262.48130399999997;413.373013;237.18;437.53;674.71;229.1;440.81;669.91;656.65;209.51;447.14;161.73;394.28;556.01;172.31;409.25;581.56;200.37;403.29;603.66;197.73;405.68;603.41;211.64;409.58;621.22;302.87;420.09;722.96;606;472;160;45;84;313.91;398.24;712.15;283.27;405.19;688.46;254.1;418.15;672.25;257.97;426.26;684.23;258.01;451.98;709.99
48.817905996863146, 3.0064741366729173;"{""coordinates"": [[3.006474136672917, 48.817905996863146]], ""type"": ""MultiPoint""}";373;77371;0.32;0.34;4.39;291.90729899999997;190.307594;101.599705;215.18;119.89;335.07;227.63;120.68;348.31;319.33;183.8;135.53;200.04;130.6;330.64;203.88;142.74;346.62;173.82;132.15;305.97;178.11;134.58;312.69;245.68;176.72;422.4;274.32;170.57;444.89;383;260;516;450;604;275.67;163.43;439.1;275.87;167.12;442.99;270.48;189.87;460.35;275.91;191.64;467.55;217.55;136.18;353.73
48.51173736491014, 3.204853126415308;"{""coordinates"": [[3.204853126415308, 48.51173736491014]], ""type"": ""MultiPoint""}";445;77446;0.32;0.04;-18.99;57.539708000000005;26.226746000000002;31.312962;26.33;35.31;61.64;30.63;35.95;66.58;70.44;35.01;35.43;38.38;35.01;73.39;52.19;44.05;96.24;54.27;44.29;98.56;49.86;53.54;103.4;46.97;55.81;102.78;47.01;56.9;103.91;9;60;44;50;60;30.22;47.68;77.9;23.52;48.08;71.6;23.49;37.62;61.11;24.44;37.2;61.64;21.9;31.94;53.84
49.04194881697784, 3.108126120001446;"{""coordinates"": [[3.108126120001446, 49.04194881697784]], ""type"": ""MultiPoint""}";488;77490;0.33;0.22;-1.23;65.52114300000001;32.489281999999996;33.031861;19.8;27.46;47.26;19.96;27.72;47.68;44.18;20.18;24.0;20.28;24.1;44.38;11.87;23.7;35.57;33.16;24.3;57.46;38.54;24.67;63.21;34.94;25.0;59.94;36.02;25.17;61.19;68;76;48;55;108;36.07;25.15;61.22;11.32;5.24;16.56;6.16;5.12;11.28;6.05;5.0;11.05;9.91;4.73;14.64
49.0599645564639, 1.5499919571056868;"{""coordinates"": [[1.549991957105687, 49.0599645564639]], ""type"": ""MultiPoint""}";655;78337;0.28;0.28;2.43;198.656235;89.276968;109.379267;88.39;118.49;206.88;87.74;115.58;203.32;209.75;97.06;112.69;92.38;106.45;198.83;100.08;100.71;200.79;93.08;95.79;188.87;105.21;96.54;201.75;100.75;96.76;197.51;149.56;92.01;241.57;226;182;208;295;248;143.55;92.0;235.55;137.68;85.95;223.63;114.88;95.27;210.15;115.1;95.05;210.15;111.95;96.14;208.09
48.5645654290955, 2.2995929389324257;"{""coordinates"": [[2.299592938932426, 48.5645654290955]], ""type"": ""MultiPoint""}";889;91376;0.35;0.33;1.21;953.445484;555.745712;397.699772;590.2;399.3;989.5;606.48;418.58;1025.06;1041.16;641.84;399.32;686.44;412.94;1099.38;673.48;464.74;1138.22;694.11;462.4;1156.51;673.69;520.65;1194.34;675.8;535.92;1211.72;797.07;528.41;1325.48;780;700;888;705;436;802.13;507.75;1309.88;814.91;506.91;1321.82;853.72;489.54;1343.26;860.47;491.38;1351.85;913.05;521.68;1434.73
48.53567983311504, 2.1804931860532824;"{""coordinates"": [[2.180493186053282, 48.53567983311504]], ""type"": ""MultiPoint""}";945;91578;0.82;0.62;-1.21;52.8254;25.574260000000002;27.25114;22.52;31.08;53.6;22.72;31.9;54.62;52.09;20.07;32.02;15.9;27.13;43.03;20.03;23.27;43.3;23.48;23.54;47.02;24.25;19.27;43.52;27.98;20.27;48.25;31.99;16.54;48.53;86;96;76;80;48;28.89;16.3;45.19;27.77;19.03;46.8;27.12;18.92;46.04;27.48;18.73;46.21;26.89;21.04;47.93
49.08379530640615, 2.19157922870391;"{""coordinates"": [[2.19157922870391, 49.08379530640615]], ""type"": ""MultiPoint""}";1139;95120;0.24;0.2;-1.2;147.053967;38.74668;108.30728699999999;52.05;112.51;164.56;47.36;96.5;143.86;182.86;85.29;97.57;83.76;116.31;200.07;90.68;98.21;188.89;94.34;108.68;203.02;92.89;111.86;204.75;89.86;87.71;177.57;96.26;68.66;164.92;201;224;132;155;128;97.98;70.74;168.72;99.03;70.67;169.7;89.78;70.83;160.61;91.78;70.88;162.66;96.16;101.1;197.26
49.080865521492164, 2.5091303270523824;"{""coordinates"": [[2.509130327052382, 49.080865521492164]], ""type"": ""MultiPoint""}";1208;95371;0.78;0.64;-0.83;1964.55583;1131.411376;833.144454;1061.36;889.27;1950.63;1066.11;917.54;1983.65;2110.19;1106.18;1004.01;1217.87;999.56;2217.43;1353.29;1091.88;2445.17;1406.93;1118.58;2525.51;1419.32;1126.92;2546.24;1374.08;1053.76;2427.84;1324.2;1040.36;2364.56;1914;2064;1396;1020;212;1185.46;920.96;2106.42;1117.51;877.34;1994.85;1151.37;908.16;2059.53;1156.67;915.24;2071.91;1130.01;929.74;2059.75
49.0668682904447, 2.4885092669960924;"{""coordinates"": [[2.488509266996092, 49.0668682904447]], ""type"": ""MultiPoint""}";1244;95509;0.15;0.15;-0.78;374.480946;195.87698;178.603966;192.29;188.24;380.53;216.8;163.98;380.78;373.89;205.64;168.25;203.82;185.91;389.73;236.9;180.41;417.31;242.54;186.75;429.29;199.21;199.97;399.18;202.55;193.2;395.75;192.28;192.39;384.67;220;236;208;135;144;153.16;211.68;364.84;142.46;200.07;342.53;152.33;173.77;326.1;154.11;176.17;330.28;153.14;180.79;333.93
